2019-02-27 12:36:44,760 p=1075 u=root |  PLAY [Accel Install PlayBook] *******************************************************************************************************************************************************************************************************************************
2019-03-02 03:01:24,092 p=2483 u=root |  TASK [copy init script] ************************************************************************************************************************************************
2019-03-02 03:01:24,417 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:24,446 p=2483 u=root |  TASK [file] ************************************************************************************************************************************************************
2019-03-02 03:01:24,577 p=2483 u=root |  ok: [localhost]
2019-03-02 03:01:24,609 p=2483 u=root |  TASK [autorun accel] ***************************************************************************************************************************************************
2019-03-02 03:01:24,950 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:24,979 p=2483 u=root |  TASK [copy systemd file] ***********************************************************************************************************************************************
2019-03-02 03:01:25,285 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:25,313 p=2483 u=root |  TASK [update-rc.d] *****************************************************************************************************************************************************
2019-03-02 03:01:25,640 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:25,668 p=2483 u=root |  TASK [conntrack] *******************************************************************************************************************************************************
2019-03-02 03:01:25,802 p=2483 u=root |  fatal: [localhost]: FAILED! => {"changed": false, "msg": "Destination /etc/modprobe.d/nf_conntrack.conf does not exist !", "rc": 257}
2019-03-02 03:01:25,803 p=2483 u=root |  	to retry, use: --limit @/home/vilko/accel_ansible/install.retry

2019-03-02 03:01:25,804 p=2483 u=root |  PLAY RECAP *************************************************************************************************************************************************************
2019-03-02 03:01:25,804 p=2483 u=root |  localhost                  : ok=18   changed=13   unreachable=0    failed=1   
2019-03-02 03:03:14,442 p=6061 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 03:03:14,454 p=6061 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 03:03:18,089 p=6061 u=root |  ok: [localhost]
2019-03-02 03:03:18,118 p=6061 u=root |  TASK [Creates directory] ***********************************************************************************************************************************************
2019-03-02 03:03:18,418 p=6061 u=root |  changed: [localhost]
2019-03-02 03:03:18,448 p=6061 u=root |  TASK [Clone a repository] **********************************************************************************************************************************************
2019-03-02 03:03:22,587 p=6061 u=root |  changed: [localhost]
2019-03-02 03:03:22,616 p=6061 u=root |  TASK [build] ***********************************************************************************************************************************************************
2019-03-02 03:03:22,876 p=6061 u=root |  failed: [localhost] (item=cmake /var/accel-ppp/accel-ppp.git -DKDIR=/usr/src/linux-headers-3.16.0-4-amd64 -DBUILD_DRIVER=FALSE -DRADIUS=TRUE -DNETSNMP=FALSE -DSHAPER=TRUE -DLOG_PGSQL=FALSE -DLUA=TRUE -DBUILD_IPOE_DRIVER=TRUE -DBUILD_VLAN_MON_DRIVER=TRUE -DCMAKE_INSTALL_PREFIX=/usr/local/src) => {"changed": true, "cmd": ["cmake", "/var/accel-ppp/accel-ppp.git", "-DKDIR=/usr/src/linux-headers-3.16.0-4-amd64", "-DBUILD_DRIVER=FALSE", "-DRADIUS=TRUE", "-DNETSNMP=FALSE", "-DSHAPER=TRUE", "-DLOG_PGSQL=FALSE", "-DLUA=TRUE", "-DBUILD_IPOE_DRIVER=TRUE", "-DBUILD_VLAN_MON_DRIVER=TRUE", "-DCMAKE_INSTALL_PREFIX=/usr/local/src"], "delta": "0:00:00.012029", "end": "2019-03-02 03:03:22.857410", "item": "cmake /var/accel-ppp/accel-ppp.git -DKDIR=/usr/src/linux-headers-3.16.0-4-amd64 -DBUILD_DRIVER=FALSE -DRADIUS=TRUE -DNETSNMP=FALSE -DSHAPER=TRUE -DLOG_PGSQL=FALSE -DLUA=TRUE -DBUILD_IPOE_DRIVER=TRUE -DBUILD_VLAN_MON_DRIVER=TRUE -DCMAKE_INSTALL_PREFIX=/usr/local/src", "msg": "non-zero return code", "rc": 1, "start": "2019-03-02 03:03:22.845381", "stderr": "CMake Error: The source \"/var/accel-ppp/accel-ppp.git/CMakeLists.txt\" does not match the source \"/var/accel-ppp/CMakeLists.txt\" used to generate cache.  Re-run cmake with a different source directory.", "stderr_lines": ["CMake Error: The source \"/var/accel-ppp/accel-ppp.git/CMakeLists.txt\" does not match the source \"/var/accel-ppp/CMakeLists.txt\" used to generate cache.  Re-run cmake with a different source directory."], "stdout": "", "stdout_lines": []}
2019-03-02 03:03:23,006 p=6061 u=root |  failed: [localhost] (item=make) => {"changed": true, "cmd": ["make"], "delta": "0:00:00.014217", "end": "2019-03-02 03:03:22.987976", "item": "make", "msg": "non-zero return code", "rc": 2, "start": "2019-03-02 03:03:22.973759", "stderr": "CMake Error: The source directory \"/var/accel-ppp\" does not appear to contain CMakeLists.txt.\nSpecify --help for usage, or press the help button on the CMake GUI.\nmake: *** [cmake_check_build_system] Error 1", "stderr_lines": ["CMake Error: The source directory \"/var/accel-ppp\" does not appear to contain CMakeLists.txt.", "Specify --help for usage, or press the help button on the CMake GUI.", "make: *** [cmake_check_build_system] Error 1"], "stdout": "Makefile:611: recipe for target 'cmake_check_build_system' failed", "stdout_lines": ["Makefile:611: recipe for target 'cmake_check_build_system' failed"]}
2019-03-02 03:03:23,128 p=6061 u=root |  failed: [localhost] (item=make install) => {"changed": true, "cmd": ["make", "install"], "delta": "0:00:00.014383", "end": "2019-03-02 03:03:23.112390", "item": "make install", "msg": "non-zero return code", "rc": 2, "start": "2019-03-02 03:03:23.098007", "stderr": "CMake Error: The source directory \"/var/accel-ppp\" does not appear to contain CMakeLists.txt.\nSpecify --help for usage, or press the help button on the CMake GUI.\nmake: *** [cmake_check_build_system] Error 1", "stderr_lines": ["CMake Error: The source directory \"/var/accel-ppp\" does not appear to contain CMakeLists.txt.", "Specify --help for usage, or press the help button on the CMake GUI.", "make: *** [cmake_check_build_system] Error 1"], "stdout": "Makefile:611: recipe for target 'cmake_check_build_system' failed", "stdout_lines": ["Makefile:611: recipe for target 'cmake_check_build_system' failed"]}
2019-03-02 03:03:23,131 p=6061 u=root |  	to retry, use: --limit @/home/vilko/accel_ansible/install.retry

2019-03-02 03:03:23,132 p=6061 u=root |  PLAY RECAP *************************************************************************************************************************************************************
2019-03-02 03:03:23,132 p=6061 u=root |  localhost                  : ok=3    changed=2    unreachable=0    failed=1   
2019-03-02 03:04:52,431 p=6497 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 03:04:52,446 p=6497 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 03:04:58,596 p=6497 u=root |  ok: [localhost]
2019-03-02 03:04:58,626 p=6497 u=root |  TASK [Creates directory] ***********************************************************************************************************************************************
2019-03-02 03:04:58,893 p=6497 u=root |  ok: [localhost]
2019-03-02 03:04:58,926 p=6497 u=root |  TASK [Clone a repository] **********************************************************************************************************************************************
2019-03-02 03:05:01,352 p=6497 u=root |  ok: [localhost]
2019-03-02 03:05:01,383 p=6497 u=root |  TASK [build] ***********************************************************************************************************************************************************
2019-03-02 03:05:01,637 p=6497 u=root |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: OSError: [Errno 2] No such file or directory: '/usr/local/src'
